DispoCode,Code,Succession,Elephant,VillDist,RoadDist,ParkDist,Park,Succ2,Temp,Prec,PrecDryQt,Elev,SoilPCA1,SoilPCA2
CAFI_P077,WEL_114,Secondaire,Active,4.565781874,110.5586994,13.15961237,0,Exp,25.7,198.1,1.4,39,-10.10242427,-2.097610986
CAFI_P078,WNY_112,Secondaire,Active,1.093901895,120.3425777,15.19133932,0,Exp,25.6,199.3,1.4,47,-10.10242427,-2.097610986
CAFI_P079,WOU_289,Secondaire,Active,21.51678811,13.63698346,35.99087034,0,Exp,25.4,164,3.1,326,0.221918794,1.137765611
CAFI_P080,YEN_113,Secondaire,Active,2.439843588,85.84080449,32.89189274,0,Exp,25.8,197.6,1.5,43,-10.10242427,-2.097610986
CAFI_P081,YOU_305,Secondaire,Ancienne piste/pas d'activite,14.92023835,47.30599557,99.94022633,0,Sec,24.4,173.1,8.6,434,0.221918794,1.137765611
CAFI_P082,ZAM_368,Secondaire,Active,1.680657495,18.77822089,7.73835061,0,Exp,26.2,238,3.7,28,0.221918794,1.137765611
NRI_P001,ADO_022,Exploitee,Active,5.019724312,4.502484918,11.16369435,0,Prm,23.9,162.4,7.9,526,-0.092556036,-1.35964361
NRI_P002,AGN_310,Secondaire,Ancienne piste/pas d'activite,2.574203408,0.738950821,19.12341846,0,Sec,24.2,159.7,6.7,497,-0.092556036,-1.35964361
NRI_P003,AKOK_91,Secondaire,Ancienne piste/pas d'activite,1.227363708,0.499632612,7.875408546,0,Sec,26,280.8,4,31,-10.10242427,-2.097610986
NRI_P006,ANGA_124,Secondaire,Ancienne piste/pas d'activite,1.445847769,20.82922626,99.58975018,0,Sec,23.1,185.6,17,662,0.247116504,-1.05396485
NRI_P008,AVA_386,Primaire,Active,13.98955205,22.50783288,41.55198086,0,Prm,23.2,172,14.9,678,-0.092556036,-1.35964361
NRI_P010,AYMV_83,Primaire,Active,10.7037616,21.55740656,22.21446711,0,Prm,25.4,170.9,3.5,297,0.108533665,1.365842797
NRI_P012,BEM_126,Secondaire,Ancienne piste/pas d'activite,5.350483682,8.099065737,46.84116571,0,Sec,23.3,216.5,2.6,559,7.3545893,-2.07527607
NRI_P014,BLGI_31,Exploitee,Ancienne piste/pas d'activite,9.981939632,9.973086527,55.92113599,0,Exp,26.1,194.5,1.4,165,7.3545893,-2.07527607
NRI_P015,BMGO_24,Secondaire,Active,9.334446618,53.17474853,37.50502691,0,Sec,23.5,192.3,3.1,551,0.011014959,-1.687869965
NRI_P016,BNTY_59,Secondaire,Active,1.553189089,33.31053991,49.46895854,0,Sec,25.1,168.5,2.9,348,0.011014959,-1.687869965
NRI_P017,BON_137,Exploitee,Ancienne piste/pas d'activite,27.43070167,40.54441373,64.34424025,0,Prm,26,201.8,2.2,68,-10.10242427,-2.097610986
NRI_P018,DIGI_58,Primaire,Active,26.01370522,54.03849029,0,1,Prm,23.6,200.4,2.6,646,0.108533665,1.365842797
NRI_P020,DUBU_30,Exploitee,Ancienne piste/pas d'activite,7.814899604,6.625636236,44.12635755,0,Exp,26.1,204.3,1.9,155,7.3545893,-2.07527607
NRI_P021,DVLI_12,Primaire,Ancienne piste/pas d'activite,2.910760393,9.320952222,63.93227645,0,Prm,24.9,163,0.5,241,0.221918794,1.137765611
NRI_P022,EKBKB_98,Exploitee,Ancienne piste/pas d'activite,3.71718418,1.46249227,32.98681525,0,Exp,23.7,166,9,532,-0.092556036,-1.35964361
NRI_P023,EKGA_43,Exploitee,Ancienne piste/pas d'activite,3.086363722,8.833465728,28.68878125,0,Exp,26.1,200.9,2.6,138,7.3545893,-2.07527607
NRI_P024,EKO_304,Exploitee,Ancienne piste/pas d'activite,6.704174083,5.916330437,40.43653172,0,Prm,23.8,165.7,9.4,527,-0.092556036,-1.35964361
NRI_P025,EKSA_49,Primaire,Ancienne piste/pas d'activite,3.53306154,3.58299688,84.51618305,0,Exp,24.7,181.2,5.5,387,0.221918794,1.137765611
NRI_P027,ETA_15,Secondaire,Active,2.063706205,2.095448971,16.57553623,0,Sec,23.9,166,9.6,512,-2.768031015,-2.363284346
NRI_P028,FAN_106,Exploitee,Ancienne piste/pas d'activite,3.812383652,24.56511443,41.96227205,0,Prm,25.9,202.6,2.2,127,0.108533665,1.365842797
NRI_P029,FRMG_69,Exploitee,Ancienne piste/pas d'activite,8.754241365,4.9717913,53.00839055,0,Exp,25.8,200.8,3.2,147,0.108533665,1.365842797
NRI_P030,GBVA_109,Exploitee,Active,15.3654119,13.4421866,27.4159089,0,Exp,23.7,163.3,9.3,547,-0.092556036,-1.35964361
NRI_P031,GETSU_18,Exploitee,Ancienne piste/pas d'activite,7.023826151,51.21476987,13.57278901,0,Prm,25.1,191.9,1.2,268,0.221918794,1.137765611
NRI_P032,HEN_99,Primaire,Ancienne piste/pas d'activite,24.98682586,23.711143,11.30060991,0,Prm,23.5,165.5,10.5,550,-0.092556036,-1.35964361
NRI_P033,IGZE_53,Primaire,Active,5.023696173,105.811126,95.19658689,0,Prm,25.8,203.5,1.1,13,-0.345365371,4.929998266
NRI_P034,IKBD_56,Exploitee,Active,36.27310044,64.39383028,19.09384183,0,Prm,23.7,202.1,3,585,0.108533665,1.365842797
NRI_P035,ING_111,Primaire,Active,7.65662358,7.662454143,36.77733824,0,Prm,23.7,160.6,13.5,521,-0.092556036,-1.35964361
NRI_P036,IPA_1,Primaire,Ancienne piste/pas d'activite,7.060902036,9.047089774,0,1,Prm,23.8,164.4,8.6,517,-0.092556036,-1.35964361
NRI_P037,IVI_002,Primaire,Active,16.35845987,16.33525704,0,1,Prm,23.9,164,8.3,518,-0.092556036,-1.35964361
NRI_P038,IVI_004,Secondaire,Active,16.03065602,24.28671496,0,1,Sec,24.2,160.7,6.6,488,-0.092556036,-1.35964361
NRI_P039,IVI_006,Primaire,Active,24.12888743,26.04135015,0,1,Prm,24,162.6,7.3,508,-0.092556036,-1.35964361
NRI_P040,IVI_007,Primaire,Ancienne piste/pas d'activite,47.53197948,79.60964341,0,1,Prm,23.9,161.5,15.3,532,-0.092556036,-1.35964361
NRI_P041,IVI_023,Primaire,Active,18.41915093,33.94129219,0,1,Prm,24,162.9,6.9,517,-0.092556036,-1.35964361
NRI_P042,IVI_024,Primaire,NA,26.79649106,28.93760409,0,1,Prm,23.9,163.6,7.5,529,-0.092556036,-1.35964361
NRI_P046,KGL_230,Exploitee,Ancienne piste/pas d'activite,11.7488836,21.58676402,44.7742848,0,Prm,25.6,217.3,2.3,126,-10.10242427,-2.097610986
NRI_P047,KIJU_71,Primaire,Ancienne piste/pas d'activite,25.96875224,73.44466914,19.16920604,0,Prm,24.2,201,2.8,448,0.108533665,1.365842797
NRI_P048,KKMN_74,Exploitee,Ancienne piste/pas d'activite,3.819084371,25.71298243,59.77584327,0,Prm,24.9,167.5,5.2,317,0.221918794,1.137765611
