"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"44","CAFI_P045",-0.222138116618573,-0.937754470314123,"Prm",0.440247028594878,0.657587441786399,-0.245505496683791,1,-0.0927927708681347,-0.359241333395903,-0.0898134303429032
"45","CAFI_P046",0.536212032523855,0.467401173846948,"Exp",-0.280157200014957,-0.99397084538293,-0.136575481585022,1,-0.609442356630697,-0.232234481206399,-0.267379304470769
"46","CAFI_P047",-0.343294649321802,-0.137020603187482,"Sec",1.07060072862848,-0.785819904231423,-0.245505496683791,1,-0.531309257185098,-0.167054142021596,0.332453058342051
"47","CAFI_P049",-0.913179080925875,-1.38249670248093,"Exp",1.4308028429334,0.159390107227056,0.161027092515639,1,-0.125851465799975,-0.362727914899132,-0.0649271995123685
"48","CAFI_P050",-0.854844454068765,-1.41184687425726,"Exp",1.25070178578094,0.101380828545489,0.161027092515639,0,-0.0446078812026035,-0.356153280557715,-0.0256335605351823
"49","CAFI_P051",0.863783398721473,-0.786323716269817,"Sec",-0.550308785743646,-0.154542459755544,-0.136575481585022,0,-0.50790473197694,-0.278390460414148,-0.203282341353995
"50","CAFI_P052",-0.325345533365768,-0.344632927940788,"Exp",0.620348085747337,-0.881364598530475,-0.245505496683791,1,-0.604279238395899,-0.266040980896811,-0.197667382063931
"51","CAFI_P053",1.34840952953439,1.30296411440378,"Exp",-1.27071301435348,-0.349044158864328,-0.136575481585022,0,-0.764092623259885,0.594406520788955,-0.263448827754469
"52","CAFI_P055",0.859296119732464,0.877245846312891,"Exp",-1.18066248577725,-0.144305528223502,-0.136575481585022,1,-0.541644634463278,-0.220564256996945,-0.190130373499153
"53","CAFI_P056",-1.36639425881573,0.474653108952688,"Exp",1.25070178578094,2.67767526410921,2.54273910783674,1,-0.731790756569393,-0.346858751351844,-0.0177207223939204
"54","CAFI_P057",0.231077061271281,-0.181399706583783,"Sec",-0.550308785743646,-0.591318205122638,-0.245505496683791,0,-0.595586341411714,-0.0298417364237075,-0.22289854003526
"55","CAFI_P058",-0.868306291035791,-0.904257074369247,"Exp",0.890499671476025,0.565455057998028,0.161027092515639,1,-0.174100088675045,-0.359873363676643,-0.0604463297589188
"56","CAFI_P060",-1.42921616466185,0.531024919302448,"Exp",1.16065125720471,3.01549400466658,2.54273910783674,1,-0.726558928039256,-0.243453521018149,0.073712376627936
